rank,admin1,admin2,wp_low_mean,SAH_State_Type,SAH_State_Date,acronym,governor,political-party,population,SAH,SAH-notes,county-state,SAH-start-date,SAH-end-date,source-URL,NE-bus-sus,start-date,source-URL_1,Pub-school-closed,start-date_1,source-URL_2
131,Alaska,Juneau,-39,Stay at home,3/28/2020,,Mike Dunleavy,Republican,,,,,,,,,,,,,
131,Illinois,McLean County,-39,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,172410,,,,,,,,,,,,
132,Texas,Hidalgo County,-38.94,Stay at home,4/2/2020,,Greg Abbott,Republican,862298,,,,,,,,,,,,
133,Indiana,Monroe County,-38.75,Stay at home,3/24/2020,,Eric Holcomb,Republican,147230,,,,,,,,,,,,
133,Missouri,Jackson County,-38.75,Stay at home,4/6/2020,MO,Mike Parson,Republican,700784,Yes,stay home missouri,,3/24/2020,5/3/2020,https://www.washingtonpost.com/health/2020/04/06/coronavirus-stay-at-home-by-state/#tennessee,Yes,3/24/2020,https://www.kcmo.gov/home/showdocument?id=4065,Yes,3/14/2020,https://lsr7.org/district/district-calendar/quick-view/
133,New Jersey,Atlantic County,-38.75,Stay at home,3/21/2020,,Phil Murphy,Democratic,263989,,,,,,,,,,,,
134,Minnesota,Carver County,-38.73,Stay at home,3/27/2020,,Tim Walz,Democratic,103533,,,,,,,,,,,,
135,Georgia,Oconee County,-38.67,Shelter in place,4/3/2020,,Brian Kemp,Republican,39478,,,,,,,,,,,,
136,Texas,Dallas County,-38.65,Stay at home,4/2/2020,TN,Greg Abbott,Republican,2629350,,,,,,,,,,,,
137,Massachusetts,Hampshire County,-38.62,Stay at home advisory,3/24/2020,,Charles D. Baker,Republican,161139,,,,,,,,,,,,
137,Mississippi,Tunica County,-38.62,Shelter in place,4/3/2020,,Tate Reeves,Republican,9922,,,,,,,,,,,,
138,Colorado,Larimer County,-38.5,Stay at home,3/26/2020,,Jared Polis,Democratic,350660,,,,,,,,,,,,
139,Minnesota,Washington County,-38.45,Stay at home,3/27/2020,,Tim Walz,Democratic,258899,,,,,,,,,,,,
140,Pennsylvania,Westmoreland County,-38.4,Stay at home,4/1/2020,,Tom Wolf,Democratic,350459,,,,,,,,,,,,
141,Alabama,Jefferson County,-38.39,Stay at home,4/4/2020,AL,Kay Ivey,Republican,659429,Yes,,,4/3/2020,4/30/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,,,,,,
142,Maryland,Calvert County,-38.36,Stay at home,3/30/2020,,Larry Hogan,Republican,92065,,,,,,,,,,,,
143,Florida,Alachua County,-38.35,Stay at home,4/3/2020,,Ron DeSantis,Republican,268851,,,,,,,,,,,,
144,Colorado,El Paso County,-38.33,Stay at home,3/26/2020,CO,Jared Polis,Democratic,712089,Yes,,,,,,,,,,,
145,Florida,Hillsborough County,-38.28,Stay at home,4/3/2020,,Ron DeSantis,Republican,1451919,,,,,,,,,,,,
146,Pennsylvania,Pike County,-38.25,Stay at home,4/1/2020,,Tom Wolf,Democratic,55780,,,,,,,,,,,,
147,Georgia,Columbia County,-38.19,Shelter in place,4/3/2020,,Brian Kemp,Republican,154077,,,,,,,,,,,,
148,New Jersey,Monmouth County,-38,Stay at home,3/21/2020,,Phil Murphy,Democratic,620459,,,,,,,,,,,,
148,New York,Queens County,-38,Stay at home,3/22/2020,NY,Andrew Cuomo,Democratic,2274605,Yes,vulnerable populations only,same,3/22/2020,5/15/2020,https://coronavirus.health.ny.gov/home,Yes,3/22/2020,https://coronavirus.health.ny.gov/new-york-state-pause,Yes,3/18/2020,https://www.governor.ny.gov/news/governor-cuomo-signs-executive-order-closing-schools-statewide-two-weeks
148,New York,Westchester County,-38,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,968213,,,,,,,,,,,,
148,Virginia,Henrico County,-38,Stay at home,3/30/2020,,Ralph Northam,Democratic,328993,,,,,,,,,,,,
149,Texas,Bexar County,-37.94,Stay at home,4/2/2020,,Greg Abbott,Republican,1981187,,,,,,,,,,,,
150,Tennessee,Sevier County,-37.91,Stay at home,3/31/2020,,Bill Lee,Republican,97895,,,,,,,,,,,,
151,Pennsylvania,Erie County,-37.73,Stay at home,4/1/2020,,Tom Wolf,Democratic,271544,,,,,,,,,,,,
152,Texas,Starr County,-37.71,Stay at home,4/2/2020,,Greg Abbott,Republican,64249,,,,,,,,,,,,
153,Nevada,Washoe County,-37.69,Stay at home,4/1/2020,NV,Steve Sisolak,Democratic,464354,Yes,SAH directive,,4/1/2020,4/30/2020,https://www.washingtonpost.com/health/2020/04/06/coronavirus-stay-at-home-by-state/#mississippi,Yes,3/1/2020,https://www.washoecounty.us/outreach/2020/03/2020-03-21-covid-19-business-update.php,Yes,3/15/2020,http://gov.nv.gov/News/Emergency_Orders/2020/2020-03-15_-_COVID-19_Declaration_of_Emergency_Directive_001/
154,Illinois,Champaign County,-37.6,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,209918,,,,,,,,,,,,
155,Rhode Island,Newport County,-37.58,Stay at home,3/28/2020,RI,Gina Raimondo,Democratic,82547,Yes,,,3/28/2020,5/8/2020,https://whdh.com/news/ri-stay-at-home-orders-extended-to-may-8-providence-parks-closed/,,,,,,
156,Maryland,Baltimore,-37.57,Stay at home,3/30/2020,,Larry Hogan,Republican,,,,,,,,,,,,,
157,Minnesota,Ramsey County,-37.55,Stay at home,3/27/2020,MN,Tim Walz,Democratic,548872,Yes,shelter in place,,3/27/2020,5/3/2020,https://mn.gov/governor/covid-19/faq/,Yes,3/27/2020,https://mn.gov/governor/assets/3a.%20EO%2020-20%20FINAL%20SIGNED%20Filed_tcm1055-425020.pdf,Yes,3/18/2020,https://education.mn.gov/MDE/dse/health/covid19/
158,Maryland,St. Mary's County,-37.54,Stay at home,3/30/2020,,Larry Hogan,Republican,112720,,,,,,,,,,,,
159,Illinois,DuPage County,-37.4,Stay at home,3/21/2020,IL,J.B. Pritzker,Democratic,927247,,,,,,,,,,,,
159,New Hampshire,Rockingham County,-37.4,Stay at home,3/27/2020,NH,Chris Sununu,Republican,308287,Yes,PX,,3/13/2020,5/4/2020,https://www.unionleader.com/news/health/coronavirus/gov-extends-emergency-declaration-stay-home-order-still-in-place/article_dd130f32-3c6d-5e70-859c-0a72de48481d.html,,,,,,
159,Pennsylvania,Lackawanna County,-37.4,Stay at home,4/1/2020,,Tom Wolf,Democratic,210269,,,,,,,,,,,,
160,West Virginia,Monongalia County,-37.38,Stay at home,3/24/2020,,Jim Justice,Republican,105651,,,,,,,,,,,,
161,Oregon,Washington County,-37.29,Stay at home,3/23/2020,OR,Kate Brown,Democratic,596904,Yes,,,3/23/2020,,https://www.kdrv.com/content/news/Governor-Brown-extends-restaurant-dine-in-ban-indefinitely-to-match-stay-at-home-order-569450591.html,Yes,3/23/2020,https://centraloregondaily.com/covid-19-gov-brown-orders-statewide-shutdown-non-essential-businesses-to-close/,Yes,3/16/2020,https://katu.com/news/local/gov-brown-orders-all-k-12-schools-to-close-statewide-for-two-weeks-due-to-coronavirus
162,Texas,Cameron County,-37.24,Stay at home,4/2/2020,,Greg Abbott,Republican,422139,,,,,,,,,,,,
162,Texas,Harris County,-37.24,Stay at home,4/2/2020,TN,Greg Abbott,Republican,4680045,,,,,,,,,,,,
163,Kentucky,Campbell County,-37.2,Healthy at home,3/26/2020,,Andy Beshear,Democratic,93464,,,,,,,,,,,,
163,Kentucky,Oldham County,-37.2,Healthy at home,3/26/2020,,Andy Beshear,Democratic,66512,,,,,,,,,,,,
