rank,admin1,admin2,wp_low_mean,SAH_State_Type,SAH_State_Date,acronym,governor,political-party,population,SAH,SAH-notes,county-state,SAH-start-date,SAH-end-date,source-URL,NE-bus-sus,start-date,source-URL_1,Pub-school-closed,start-date_1,source-URL_2
611,Maryland,Caroline County,-25.93,Stay at home,3/30/2020,,Larry Hogan,Republican,33306,,,,,,,,,,,,
611,Missouri,Marion County,-25.93,Stay at home,4/6/2020,,Mike Parson,Republican,28540,,,,,,,,,,,,
612,Missouri,Newton County,-25.9,Stay at home,4/6/2020,,Mike Parson,Republican,58158,,,,,,,,,,,,
612,South Carolina,Edgefield County,-25.9,Stay at home ,4/7/2020,,Henry McMaster,Republican,27132,,,,,,,,,,,,
613,Minnesota,Lyon County,-25.89,Stay at home,3/27/2020,,Tim Walz,Democratic,25583,,,,,,,,,,,,
614,Georgia,Thomas County,-25.88,Shelter in place,4/3/2020,,Brian Kemp,Republican,44334,,,,,,,,,,,,
614,Kansas,Jackson County,-25.88,Stay at home,3/30/2020,,Laura Kelly,Democratic,13270,,,,,,,,,,,,
614,Michigan,Berrien County,-25.88,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,153790,,,,,,,,,,,,
614,Texas,Lamb County,-25.88,Stay at home,4/2/2020,,Greg Abbott,Republican,13103,,,,,,,,,,,,
615,Missouri,Franklin County,-25.85,Stay at home,4/6/2020,,Mike Parson,Republican,103716,,,,,,,,,,,,
616,Texas,Coryell County,-25.83,Stay at home,4/2/2020,,Greg Abbott,Republican,74741,,,,,,,,,,,,
616,Texas,Kleberg County,-25.83,Stay at home,4/2/2020,,Greg Abbott,Republican,30722,,,,,,,,,,,,
616,Washington,Franklin County,-25.83,Stay at home,3/23/2020,,Jay Inslee,Democratic,94003,,,,,,,,,,,,
616,Washington,Lewis County,-25.83,Stay at home,3/23/2020,,Jay Inslee,Democratic,79569,,,,,,,,,,,,
617,Montana,Broadwater County,-25.8,Stay at home,3/28/2020,,Steve Bullock,Democratic,6072,,,,,,,,,,,,
617,New York,Columbia County,-25.8,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,59785,,,,,,,,,,,,
618,Mississippi,Covington County,-25.79,Shelter in place,4/3/2020,,Tate Reeves,Republican,18825,,,,,,,,,,,,
618,Tennessee,Franklin County,-25.79,Stay at home,3/31/2020,,Bill Lee,Republican,41935,,,,,,,,,,,,
619,Alabama,Chilton County,-25.78,Stay at home,4/4/2020,,Kay Ivey,Republican,44163,,,,,,,,,,,,
619,Florida,Putnam County,-25.78,Stay at home,4/3/2020,,Ron DeSantis,Republican,74043,,,,,,,,,,,,
619,Kentucky,Anderson County,-25.78,Healthy at home,3/26/2020,,Andy Beshear,Democratic,22641,,,,,,,,,,,,
619,Minnesota,Kanabec County,-25.78,Stay at home,3/27/2020,,Tim Walz,Democratic,16246,,,,,,,,,,,,
620,Virginia,Bedford County,-25.77,Stay at home,3/30/2020,,Ralph Northam,Democratic,78882,,,,,,,,,,,,
620,Virginia,Danville,-25.77,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
621,Georgia,Gordon County,-25.76,Shelter in place,4/3/2020,,Brian Kemp,Republican,57628,,,,,,,,,,,,
621,Georgia,Sumter County,-25.76,Shelter in place,4/3/2020,,Brian Kemp,Republican,29796,,,,,,,,,,,,
621,Georgia,White County,-25.76,Shelter in place,4/3/2020,,Brian Kemp,Republican,29988,,,,,,,,,,,,
621,Missouri,McDonald County,-25.76,Stay at home,4/6/2020,,Mike Parson,Republican,22963,,,,,,,,,,,,
622,Illinois,Christian County,-25.75,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,32653,,,,,,,,,,,,
622,New Mexico,Doña Ana County,-25.75,Stay at home,3/24/2020,NM,Michelle Lujan Grisham,Democratic,,Yes,SAH  instruction,,3/24/2020,4/16/2020,https://thehill.com/homenews/state-watch/494441-new-mexico-governor-extends-stay-at-home-order-were-not-ready-to-ease-up,Yes,3/24/2020,,Yes,,
622,New Mexico,Otero County,-25.75,Stay at home,3/24/2020,,Michelle Lujan Grisham,Democratic,66659,,,,,,,,,,,,
622,South Carolina,Saluda County,-25.75,Stay at home ,4/7/2020,,Henry McMaster,Republican,20397,,,,,,,,,,,,
623,Indiana,St. Joseph County,-25.71,Stay at home,3/24/2020,,Eric Holcomb,Republican,270972,,,,,,,,,,,,
623,Mississippi,Tate County,-25.71,Shelter in place,4/3/2020,,Tate Reeves,Republican,28347,,,,,,,,,,,,
623,Texas,Val Verde County,-25.71,Stay at home,4/2/2020,,Greg Abbott,Republican,48988,,,,,,,,,,,,
623,West Virginia,Kanawha County,-25.71,Stay at home,3/24/2020,WA,Jim Justice,Republican,180410,Yes,PX,,,,http://wvmetronews.com/2020/04/27/justice-introduces-reopening-plan-hinges-on-positive-test-rate-remaining-below-3-percent/,,,,,,
624,North Carolina,Davie County,-25.69,Stay at home,3/30/2020,,Roy Cooper,Democratic,42563,,,,,,,,,,,,
625,Louisiana,Bossier Parish,-25.67,Stay at home,3/23/2020,,John Bel Edwards,Democratic,127022,,,,,,,,,,,,
625,Montana,Hill County,-25.67,Stay at home,3/28/2020,,Steve Bullock,Democratic,16342,,,,,,,,,,,,
625,Ohio,Logan County,-25.67,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,45332,,,,,,,,,,,,
625,Texas,Nacogdoches County,-25.67,Stay at home,4/2/2020,,Greg Abbott,Republican,65161,,,,,,,,,,,,
625,Washington,Walla Walla County,-25.67,Stay at home,3/23/2020,,Jay Inslee,Democratic,60615,,,,,,,,,,,,
626,Texas,Potter County,-25.65,Stay at home,4/2/2020,,Greg Abbott,Republican,118711,,,,,,,,,,,,
627,Georgia,Toombs County,-25.64,Shelter in place,4/3/2020,,Brian Kemp,Republican,26902,,,,,,,,,,,,
627,Tennessee,Coffee County,-25.64,Stay at home,3/31/2020,,Bill Lee,Republican,55877,,,,,,,,,,,,
627,Tennessee,Jackson County,-25.64,Stay at home,3/31/2020,,Bill Lee,Republican,11777,,,,,,,,,,,,
628,North Carolina,Alamance County,-25.62,Stay at home,3/30/2020,,Roy Cooper,Democratic,166514,,,,,,,,,,,,
628,Virginia,Roanoke,-25.62,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
629,Missouri,Nodaway County,-25.6,Stay at home,4/6/2020,,Mike Parson,Republican,22223,,,,,,,,,,,,
629,New York,Greene County,-25.6,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,47381,,,,,,,,,,,,
630,Mississippi,Marshall County,-25.58,Shelter in place,4/3/2020,,Tate Reeves,Republican,35436,,,,,,,,,,,,
630,North Carolina,Hoke County,-25.58,Stay at home,3/30/2020,,Roy Cooper,Democratic,54695,,,,,,,,,,,,
630,Texas,Hunt County,-25.58,Stay at home,4/2/2020,,Greg Abbott,Republican,96606,,,,,,,,,,,,
631,Indiana,Allen County,-25.57,Stay at home,3/24/2020,,Eric Holcomb,Republican,375079,,,,,,,,,,,,
632,North Carolina,Brunswick County,-25.54,Stay at home,3/30/2020,,Roy Cooper,Democratic,136880,,,,,,,,,,,,
632,Virginia,Gloucester County,-25.54,Stay at home,3/30/2020,,Ralph Northam,Democratic,37341,,,,,,,,,,,,
633,Colorado,Fremont County,-25.5,Stay at home,3/26/2020,,Jared Polis,Democratic,47959,,,,,,,,,,,,
633,Illinois,Macon County,-25.5,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,104504,,,,,,,,,,,,
633,Michigan,Charlevoix County,-25.5,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,26187,,,,,,,,,,,,
633,Michigan,Shiawassee County,-25.5,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,68133,,,,,,,,,,,,
633,Minnesota,Houston County,-25.5,Stay at home,3/27/2020,,Tim Walz,Democratic,18572,,,,,,,,,,,,
634,Georgia,Greene County,-25.47,Shelter in place,4/3/2020,,Brian Kemp,Republican,17733,,,,,,,,,,,,
634,Tennessee,Putnam County,-25.47,Stay at home,3/31/2020,,Bill Lee,Republican,78631,,,,,,,,,,,,
634,Texas,Tom Green County,-25.47,Stay at home,4/2/2020,,Greg Abbott,Republican,118014,,,,,,,,,,,,
634,Texas,Van Zandt County,-25.47,Stay at home,4/2/2020,,Greg Abbott,Republican,55966,,,,,,,,,,,,
635,North Carolina,Transylvania County,-25.46,Stay at home,3/30/2020,,Roy Cooper,Democratic,34173,,,,,,,,,,,,
635,Virginia,Campbell County,-25.46,Stay at home,3/30/2020,,Ralph Northam,Democratic,55137,,,,,,,,,,,,
636,Hawaii,Hawaii County,-25.44,Stay at home,3/25/2020,HI,David Ige,Democratic,201509,Yes,PX,,3/20/2020,5/31/2020,https://news.yahoo.com/hawaii-wont-reopen-anytime-soon-164707821.html,,,,,,
636,Minnesota,Douglas County,-25.44,Stay at home,3/27/2020,,Tim Walz,Democratic,37960,,,,,,,,,,,,
636,Wisconsin,Rock County,-25.44,Stay at home,3/25/2020,,Tony Evers,Democratic,162874,,,,,,,,,,,,
637,Connecticut,Litchfield County,-25.43,Stay at home,3/23/2020,,Ned Lamont,Democratic,181095,,,,,,,,,,,,
638,Missouri,Cooper County,-25.42,Stay at home,4/6/2020,,Mike Parson,Republican,17626,,,,,,,,,,,,
639,Alabama,Lamar County,-25.4,Stay at home,4/4/2020,,Kay Ivey,Republican,13882,,,,,,,,,,,,
639,Arizona,Cochise County,-25.4,Stay at home,3/31/2020,,Doug Ducey,Republican,126411,,,,,,,,,,,,
639,Kansas,Bourbon County,-25.4,Stay at home,3/30/2020,,Laura Kelly,Democratic,14542,,,,,,,,,,,,
639,Missouri,Lafayette County,-25.4,Stay at home,4/6/2020,,Mike Parson,Republican,32542,,,,,,,,,,,,
640,Tennessee,Chester County,-25.39,Stay at home,3/31/2020,,Bill Lee,Republican,17245,,,,,,,,,,,,
641,Montana,Valley County,-25.36,Stay at home,3/28/2020,,Steve Bullock,Democratic,7406,,,,,,,,,,,,
642,Alabama,Houston County,-25.35,Stay at home,4/4/2020,,Kay Ivey,Republican,104770,,,,,,,,,,,,
642,Mississippi,Neshoba County,-25.35,Shelter in place,4/3/2020,,Tate Reeves,Republican,29151,,,,,,,,,,,,
643,California,Riverside County,-25.33,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,2445789,Yes,,,,,,,,,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
643,New York,Livingston County,-25.33,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,63213,,,,,,,,,,,,
643,Ohio,Knox County,-25.33,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,61900,,,,,,,,,,,,
643,Tennessee,Hickman County,-25.33,Stay at home,3/31/2020,,Bill Lee,Republican,25007,,,,,,,,,,,,
643,Tennessee,Rhea County,-25.33,Stay at home,3/31/2020,,Bill Lee,Republican,32911,,,,,,,,,,,,
643,Washington,Clallam County,-25.33,Stay at home,3/23/2020,,Jay Inslee,Democratic,76551,,,,,,,,,,,,
643,Wisconsin,Jefferson County,-25.33,Stay at home,3/25/2020,,Tony Evers,Democratic,85049,,,,,,,,,,,,
644,Minnesota,Waseca County,-25.3,Stay at home,3/27/2020,,Tim Walz,Democratic,18664,,,,,,,,,,,,
644,Mississippi,Benton County,-25.3,Shelter in place,4/3/2020,,Tate Reeves,Republican,8243,,,,,,,,,,,,
645,Louisiana,Lincoln Parish,-25.29,Stay at home,3/23/2020,,John Bel Edwards,Democratic,47112,,,,,,,,,,,,
646,Delaware,Kent County,-25.25,Shelter in place,3/24/2020,DE,John C. Carney Jr.,Democratic,178540,Yes,,,3/24/2020,5/15/2020,https://attorneygeneral.delaware.gov/public/covid-19-faqs-delawares-stay-at-home-orders/,Yes,3/24/2020,https://coronavirus.delaware.gov/,Yes,3/16/2020,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Letter-to-Schools-03.23.2020.pdf
646,Indiana,Porter County,-25.25,Stay at home,3/24/2020,,Eric Holcomb,Republican,169488,,,,,,,,,,,,
646,Texas,Milam County,-25.25,Stay at home,4/2/2020,,Greg Abbott,Republican,25045,,,,,,,,,,,,
646,Wisconsin,Sheboygan County,-25.25,Stay at home,3/25/2020,,Tony Evers,Democratic,115233,,,,,,,,,,,,
647,Georgia,Whitfield County,-25.24,Shelter in place,4/3/2020,,Brian Kemp,Republican,104249,,,,,,,,,,,,
648,Colorado,Logan County,-25.22,Stay at home,3/26/2020,,Jared Polis,Democratic,22268,,,,,,,,,,,,
648,Minnesota,Kandiyohi County,-25.22,Stay at home,3/27/2020,,Tim Walz,Democratic,42910,,,,,,,,,,,,
648,Minnesota,Wadena County,-25.22,Stay at home,3/27/2020,,Tim Walz,Democratic,13723,,,,,,,,,,,,
649,Tennessee,Cannon County,-25.21,Stay at home,3/31/2020,,Bill Lee,Republican,14440,,,,,,,,,,,,
650,Missouri,Randolph County,-25.2,Stay at home,4/6/2020,,Mike Parson,Republican,24732,,,,,,,,,,,,
650,New York,Steuben County,-25.2,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,95860,,,,,,,,,,,,
651,Georgia,Dodge County,-25.19,Shelter in place,4/3/2020,,Brian Kemp,Republican,20793,,,,,,,,,,,,
651,South Carolina,Darlington County,-25.19,Stay at home ,4/7/2020,,Henry McMaster,Republican,66759,,,,,,,,,,,,
652,Florida,Walton County,-25.18,Stay at home,4/3/2020,,Ron DeSantis,Republican,70732,,,,,,,,,,,,
653,Kentucky,Larue County,-25.17,Healthy at home,3/26/2020,,Andy Beshear,Democratic,14299,,,,,,,,,,,,
653,New York,Otsego County,-25.17,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,59810,,,,,,,,,,,,
654,Texas,Leon County,-25.15,Stay at home,4/2/2020,,Greg Abbott,Republican,17260,,,,,,,,,,,,
655,Missouri,Jasper County,-25.14,Stay at home,4/6/2020,,Mike Parson,Republican,120455,,,,,,,,,,,,
655,Ohio,Madison County,-25.14,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,44389,,,,,,,,,,,,
656,Indiana,Warrick County,-25.12,Stay at home,3/24/2020,,Eric Holcomb,Republican,62474,,,,,,,,,,,,
656,Kansas,Kingman County,-25.12,Stay at home,3/30/2020,,Laura Kelly,Democratic,7220,,,,,,,,,,,,
656,Michigan,Jackson County,-25.12,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,158566,,,,,,,,,,,,
656,Michigan,Manistee County,-25.12,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,24455,,,,,,,,,,,,
656,Texas,Liberty County,-25.12,Stay at home,4/2/2020,,Greg Abbott,Republican,85802,,,,,,,,,,,,
656,Texas,Polk County,-25.12,Stay at home,4/2/2020,,Greg Abbott,Republican,49955,,,,,,,,,,,,
656,Wisconsin,Adams County,-25.12,Stay at home,3/25/2020,,Tony Evers,Democratic,20341,,,,,,,,,,,,
656,Wisconsin,Shawano County,-25.12,Stay at home,3/25/2020,,Tony Evers,Democratic,40771,,,,,,,,,,,,
657,Minnesota,Becker County,-25.11,Stay at home,3/27/2020,,Tim Walz,Democratic,34389,,,,,,,,,,,,
657,Mississippi,Forrest County,-25.11,Shelter in place,4/3/2020,,Tate Reeves,Republican,74912,,,,,,,,,,,,
658,Tennessee,Jefferson County,-25.08,Stay at home,3/31/2020,,Bill Lee,Republican,54012,,,,,,,,,,,,
659,Arizona,Yuma County,-25.07,Stay at home,3/31/2020,,Doug Ducey,Republican,211612,,,,,,,,,,,,
660,Missouri,Macon County,-25.03,Stay at home,4/6/2020,,Mike Parson,Republican,15167,,,,,,,,,,,,
661,Texas,Dimmit County,-25.01,Stay at home,4/2/2020,,Greg Abbott,Republican,10195,,,,,,,,,,,,
662,Illinois,Henry County,-25,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,49069,,,,,,,,,,,,
662,Illinois,Knox County,-25,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,49978,,,,,,,,,,,,
662,Illinois,Mercer County,-25,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,15551,,,,,,,,,,,,
662,Illinois,Montgomery County,-25,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,28691,,,,,,,,,,,,
662,Indiana,Switzerland County,-25,Stay at home,3/24/2020,,Eric Holcomb,Republican,10731,,,,,,,,,,,,
662,Louisiana,St. Bernard Parish,-25,Stay at home,3/23/2020,,John Bel Edwards,Democratic,46780,,,,,,,,,,,,
662,Minnesota,Lake County,-25,Stay at home,3/27/2020,,Tim Walz,Democratic,10610,,,,,,,,,,,,
662,Missouri,Wayne County,-25,Stay at home,4/6/2020,,Mike Parson,Republican,13132,,,,,,,,,,,,
662,Tennessee,Grundy County,-25,Stay at home,3/31/2020,,Bill Lee,Republican,13348,,,,,,,,,,,,
662,Texas,Carson County,-25,Stay at home,4/2/2020,,Greg Abbott,Republican,6007,,,,,,,,,,,,
663,Alabama,Coffee County,-24.94,Stay at home,4/4/2020,,Kay Ivey,Republican,51950,,,,,,,,,,,,
663,Alabama,Colbert County,-24.94,Stay at home,4/4/2020,,Kay Ivey,Republican,55004,,,,,,,,,,,,
664,Virginia,Bristol,-24.92,Stay at home,3/30/2020,,Ralph Northam,Democratic,,,,,,,,,,,,,
664,Virginia,Pulaski County,-24.92,Stay at home,3/30/2020,,Ralph Northam,Democratic,34060,,,,,,,,,,,,
665,Minnesota,Benton County,-24.91,Stay at home,3/27/2020,,Tim Walz,Democratic,40510,,,,,,,,,,,,
666,Florida,Bay County,-24.88,Stay at home,4/3/2020,,Ron DeSantis,Republican,186240,,,,,,,,,,,,
666,Georgia,Pierce County,-24.88,Shelter in place,4/3/2020,,Brian Kemp,Republican,19388,,,,,,,,,,,,
666,Michigan,Marquette County,-24.88,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,66381,,,,,,,,,,,,
666,New Mexico,Grant County,-24.88,Stay at home,3/24/2020,,Michelle Lujan Grisham,Democratic,27303,,,,,,,,,,,,
666,South Carolina,Marion County,-24.88,Stay at home ,4/7/2020,,Henry McMaster,Republican,31056,,,,,,,,,,,,
666,Wisconsin,Wood County,-24.88,Stay at home,3/25/2020,,Tony Evers,Democratic,72954,,,,,,,,,,,,
667,Missouri,Gasconade County,-24.87,Stay at home,4/6/2020,,Mike Parson,Republican,14680,,,,,,,,,,,,
667,Texas,Swisher County,-24.87,Stay at home,4/2/2020,,Greg Abbott,Republican,7413,,,,,,,,,,,,
668,Texas,Aransas County,-24.85,Stay at home,4/2/2020,,Greg Abbott,Republican,23446,,,,,,,,,,,,
669,Georgia,Marion County,-24.84,Shelter in place,4/3/2020,,Brian Kemp,Republican,8373,,,,,,,,,,,,
670,Georgia,Lincoln County,-24.83,Shelter in place,4/3/2020,,Brian Kemp,Republican,7925,,,,,,,,,,,,
670,Mississippi,Amite County,-24.83,Shelter in place,4/3/2020,,Tate Reeves,Republican,12327,,,,,,,,,,,,
670,Texas,Archer County,-24.83,Stay at home,4/2/2020,,Greg Abbott,Republican,8700,,,,,,,,,,,,
671,Kentucky,Greenup County,-24.8,Healthy at home,3/26/2020,,Andy Beshear,Democratic,35332,,,,,,,,,,,,
671,New Hampshire,Coos County,-24.8,Stay at home,3/27/2020,NH,Chris Sununu,Republican,31486,Yes,PX,,3/13/2020,5/4/2020,https://www.unionleader.com/news/health/coronavirus/gov-extends-emergency-declaration-stay-home-order-still-in-place/article_dd130f32-3c6d-5e70-859c-0a72de48481d.html,,,,,,
672,Texas,Navarro County,-24.79,Stay at home,4/2/2020,,Greg Abbott,Republican,49536,,,,,,,,,,,,
673,Kentucky,Fleming County,-24.78,Healthy at home,3/26/2020,,Andy Beshear,Democratic,14485,,,,,,,,,,,,
673,Minnesota,Martin County,-24.78,Stay at home,3/27/2020,,Tim Walz,Democratic,19772,,,,,,,,,,,,
674,Georgia,Meriwether County,-24.75,Shelter in place,4/3/2020,,Brian Kemp,Republican,21094,,,,,,,,,,,,
674,Idaho,Canyon County,-24.75,Stay at home,3/25/2020,ID,Brad Little,Republican,223236,Yes,,,3/25/2020,5/1/2020,https://adacounty.id.gov/blog/news/re-opening-idaho-governors-timelines-and-protocols/,Yes,3/24/2020,https://adacounty.id.gov/blog/news/re-opening-idaho-governors-timelines-and-protocols/,Yes,,
674,Illinois,Carroll County,-24.75,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,14314,,,,,,,,,,,,
674,Illinois,Cumberland County,-24.75,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,10804,,,,,,,,,,,,
674,Michigan,Mason County,-24.75,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,29084,,,,,,,,,,,,
674,South Carolina,Abbeville County,-24.75,Stay at home ,4/7/2020,,Henry McMaster,Republican,24587,,,,,,,,,,,,
675,Tennessee,Bradley County,-24.73,Stay at home,3/31/2020,,Bill Lee,Republican,107050,,,,,,,,,,,,
676,Georgia,Polk County,-24.72,Shelter in place,4/3/2020,,Brian Kemp,Republican,42346,,,,,,,,,,,,
677,Georgia,Habersham County,-24.71,Shelter in place,4/3/2020,,Brian Kemp,Republican,45373,,,,,,,,,,,,
677,Indiana,Rush County,-24.71,Stay at home,3/24/2020,,Eric Holcomb,Republican,16635,,,,,,,,,,,,
677,Texas,Victoria County,-24.71,Stay at home,4/2/2020,,Greg Abbott,Republican,91878,,,,,,,,,,,,
678,Texas,Bailey County,-24.7,Stay at home,4/2/2020,,Greg Abbott,Republican,7015,,,,,,,,,,,,
679,Missouri,Callaway County,-24.68,Stay at home,4/6/2020,,Mike Parson,Republican,44954,,,,,,,,,,,,
680,Alabama,Franklin County,-24.67,Stay at home,4/4/2020,,Kay Ivey,Republican,31298,,,,,,,,,,,,
680,California,Tuolumne County,-24.67,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,54387,Yes,,same,3/19/2020,,,,,,Yes,3/16/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
680,Kentucky,Bourbon County,-24.67,Healthy at home,3/26/2020,,Andy Beshear,Democratic,20116,,,,,,,,,,,,
680,Ohio,Clark County,-24.67,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,134528,,,,,,,,,,,,
681,Georgia,Brantley County,-24.65,Shelter in place,4/3/2020,,Brian Kemp,Republican,18985,,,,,,,,,,,,
682,Maine,Piscataquis County,-24.63,Stay at home,4/2/2020,ME,Janet T. Mills,Democratic,16746,Yes,Stay healthy at home,,3/31/2020,4/30/2020,https://www.maine.gov/covid19/timeline,3/24/2020,,https://www.maine.gov/covid19/timeline,,,https://www.maine.gov/covid19/timeline
682,South Carolina,Laurens County,-24.63,Stay at home ,4/7/2020,,Henry McMaster,Republican,66890,,,,,,,,,,,,
683,North Carolina,Gaston County,-24.62,Stay at home,3/30/2020,,Roy Cooper,Democratic,222630,,,,,,,,,,,,
683,Virginia,Prince George County,-24.62,Stay at home,3/30/2020,,Ralph Northam,Democratic,37993,,,,,,,,,,,,
683,Wisconsin,Fond du Lac County,-24.62,Stay at home,3/25/2020,,Tony Evers,Democratic,103001,,,,,,,,,,,,
684,Missouri,Ralls County,-24.61,Stay at home,4/6/2020,,Mike Parson,Republican,10234,,,,,,,,,,,,
685,Tennessee,Roane County,-24.6,Stay at home,3/31/2020,,Bill Lee,Republican,53258,,,,,,,,,,,,
686,Missouri,Ripley County,-24.58,Stay at home,4/6/2020,,Mike Parson,Republican,13420,,,,,,,,,,,,
687,North Carolina,Ashe County,-24.57,Stay at home,3/30/2020,,Roy Cooper,Democratic,27099,,,,,,,,,,,,
687,Oregon,Linn County,-24.57,Stay at home,3/23/2020,,Kate Brown,Democratic,127451,,,,,,,,,,,,
687,Oregon,Wasco County,-24.57,Stay at home,3/23/2020,,Kate Brown,Democratic,26432,,,,,,,,,,,,
688,North Carolina,Craven County,-24.54,Stay at home,3/30/2020,,Roy Cooper,Democratic,102338,,,,,,,,,,,,
689,Georgia,Upson County,-24.53,Shelter in place,4/3/2020,,Brian Kemp,Republican,26185,,,,,,,,,,,,
690,California,Sutter County,-24.5,Stay at home,3/19/2020,CA,Gavin Newsom,Democratic,96348,Yes,,same,3/19/2020,,,,,,Yes,3/17/2020,https://edsource.org/2020/california-k-12-schools-closed-due-to-the-coronavirus/624984
690,Colorado,Pueblo County,-24.5,Stay at home,3/26/2020,,Jared Polis,Democratic,167422,,,,,,,,,,,,
690,Michigan,Ogemaw County,-24.5,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,20882,,,,,,,,,,,,
690,North Carolina,Currituck County,-24.5,Stay at home,3/30/2020,,Roy Cooper,Democratic,27016,,,,,,,,,,,,
690,North Carolina,Macon County,-24.5,Stay at home,3/30/2020,,Roy Cooper,Democratic,35274,,,,,,,,,,,,
690,Virginia,Wise County,-24.5,Stay at home,3/30/2020,,Ralph Northam,Democratic,37875,,,,,,,,,,,,
690,Washington,Stevens County,-24.5,Stay at home,3/23/2020,,Jay Inslee,Democratic,45224,,,,,,,,,,,,
691,Florida,Washington County,-24.47,Stay at home,4/3/2020,,Ron DeSantis,Republican,24793,,,,,,,,,,,,
691,Georgia,Gilmer County,-24.47,Shelter in place,4/3/2020,,Brian Kemp,Republican,30835,,,,,,,,,,,,
691,Virginia,Rockbridge County,-24.47,Stay at home,3/30/2020,,Ralph Northam,Democratic,22761,,,,,,,,,,,,
692,Virginia,Floyd County,-24.46,Stay at home,3/30/2020,,Ralph Northam,Democratic,15790,,,,,,,,,,,,
693,Georgia,Franklin County,-24.44,Shelter in place,4/3/2020,,Brian Kemp,Republican,23034,,,,,,,,,,,,
693,Georgia,Turner County,-24.44,Shelter in place,4/3/2020,,Brian Kemp,Republican,7908,,,,,,,,,,,,
693,Kentucky,Henderson County,-24.44,Healthy at home,3/26/2020,,Andy Beshear,Democratic,45512,,,,,,,,,,,,
693,Texas,Young County,-24.44,Stay at home,4/2/2020,,Greg Abbott,Republican,17986,,,,,,,,,,,,
693,Texas,Zavala County,-24.44,Stay at home,4/2/2020,,Greg Abbott,Republican,11969,,,,,,,,,,,,
694,Michigan,Gratiot County,-24.43,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,40602,,,,,,,,,,,,
694,Ohio,Lucas County,-24.43,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,429612,,,,,,,,,,,,
694,Ohio,Mahoning County,-24.43,Stay at home,3/23/2020,,Richard Michael DeWine,Republican,229216,,,,,,,,,,,,
694,Virginia,King William County,-24.43,Stay at home,3/30/2020,,Ralph Northam,Democratic,16919,,,,,,,,,,,,
695,Illinois,Winnebago County,-24.4,Stay at home,3/21/2020,,J.B. Pritzker,Democratic,283630,,,,,,,,,,,,
695,New York,Cortland County,-24.4,Stay at home,3/22/2020,,Andrew Cuomo,Democratic,47722,,,,,,,,,,,,
696,Alabama,Marion County,-24.38,Stay at home,4/4/2020,,Kay Ivey,Republican,29750,,,,,,,,,,,,
696,Michigan,Monroe County,-24.38,Stay at home,3/24/2020,,Gretchen Whitmer,Democratic,150174,,,,,,,,,,,,
696,North Carolina,Lee County,-24.38,Stay at home,3/30/2020,,Roy Cooper,Democratic,61208,,,,,,,,,,,,
696,Texas,Trinity County,-24.38,Stay at home,4/2/2020,,Greg Abbott,Republican,14688,,,,,,,,,,,,
696,Wisconsin,Marathon County,-24.38,Stay at home,3/25/2020,,Tony Evers,Democratic,135421,,,,,,,,,,,,
697,Alabama,Coosa County,-24.36,Stay at home,4/4/2020,,Kay Ivey,Republican,10643,,,,,,,,,,,,
698,Texas,Gray County,-24.35,Stay at home,4/2/2020,,Greg Abbott,Republican,22051,,,,,,,,,,,,
698,Texas,Henderson County,-24.35,Stay at home,4/2/2020,,Greg Abbott,Republican,82103,,,,,,,,,,,,
698,Texas,Wood County,-24.35,Stay at home,4/2/2020,,Greg Abbott,Republican,45157,,,,,,,,,,,,
